ZEZINHO DA METALUGICA;70444;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;277	
ORLANDO MATIAS;11123;PARTIDO PROGRESSISTA;PP / PDT;277	
EDUARDO COELHO;33333;PARTIDO DA MOBILIZACAO NACIONAL;PRB / PMN / PSB;271	
JOSE RODRIGUES;21000;PARTIDO COMUNISTA BRASILEIRO;PCB / PCO;270	
ALBERT PIAUI;65444;PARTIDO COMUNISTA DO BRASIL;PC do B;266	
EDINA CRUZ;27777;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;266	
ANTONIO CARLOS DO PTN;19222;PARTIDO TRABALHISTA NACIONAL;PTN / PTC;266	
ANTONIO CARLOS;70347;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;265	
ISAU ARAUJO;23258;PARTIDO POPULAR SOCIALISTA;PSC / PPS;263	
MARCIO;43690;PARTIDO VERDE;PR / PV;263	
XICAO;70800;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;263	
PR. ROBSON;36700;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;263	
JUNIELSON;54555;PARTIDO PATRIA LIVRE;PTB / PRTB / PPL;262	
LUCIA;25280;DEMOCRATAS;DEM;261	
DIOMAR;70852;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;260	
FERNANDO PARQUE;45623;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB / PSD;260	
MARTINS;27567;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;259	
KENYLSON LUSTOSA;65133;PARTIDO COMUNISTA DO BRASIL;PC do B;258	
WALTER WAQUIM;14999;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;257	
GREGORIO SANTOS;25640;DEMOCRATAS;DEM;253	
IRMAO ZEZINHO;10125;PARTIDO REPUBLICANO BRASILEIRO;PRB / PMN / PSB;252	
SOCORRINHA;45622;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB / PSD;252	
CORONEL RENATO;43190;PARTIDO VERDE;PR / PV;250	
OSVALDO(COMERCIANTE);43573;PARTIDO VERDE;PR / PV;248	
SAMANTHA BRASIL;25124;DEMOCRATAS;DEM;246	
ALICE ANDRADE;43143;PARTIDO VERDE;PR / PV;245	
NETO DA MEIO NORTE;25500;DEMOCRATAS;DEM;243	
JOAO JUVENAL;44666;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;238	
TENENTE ALBERTO;43210;PARTIDO VERDE;PR / PV;234	
MAJOR AVELAR;17123;PARTIDO SOCIAL LIBERAL;PRP / PSL / PHS;233	
TONHAO;54054;PARTIDO PATRIA LIVRE;PTB / PRTB / PPL;230	
FATIMA BRITO;25222;DEMOCRATAS;DEM;226	
LUIZ CARLOS SOBRINHO;11580;PARTIDO PROGRESSISTA;PP / PDT;225	
CORONEL BENTO;31190;PARTIDO HUMANISTA DA SOLIDARIEDADE;PRP / PSL / PHS;222	
CLEITON;25200;DEMOCRATAS;DEM;221	
